codgeo,libgeo,revenu_median
02465,Marigny-en-Orxois,22820.0
02466,Marizy-Sainte-Geneviève,23910.0
02467,Marizy-Saint-Mard,
02468,Marle,18670.0
02469,Marly-Gomont,18610.0
02470,Martigny,18720.0
02471,Martigny-Courpierre,22900.0
02472,Mauregny-en-Haye,20880.0
02473,Mayot,21250.0
02474,Mennessis,21470.0
02476,Mennevret,19330.0
02477,Mercin-et-Vaux,25170.0
02478,Merlieux-et-Fouquerolles,21910.0
02480,Mesbrecourt-Richecourt,23300.0
02481,Mesnil-Saint-Laurent,30400.0
02482,Meurival,
02483,Mézières-sur-Oise,24540.0
02484,Mézy-Moulins,21980.0
02485,Missy-aux-Bois,30210.0
02486,Missy-lès-Pierrepont,
02487,Missy-sur-Aisne,23870.0
02488,Molain,21240.0
02489,Molinchart,26560.0
02490,Monampteuil,28320.0
02491,Monceau-le-Neuf-et-Faucouzy,21230.0
02492,Monceau-lès-Leups,20550.0
02493,Monceau-le-Waast,22380.0
02494,Monceau-sur-Oise,23550.0
02495,Morepuis,21680.0
02496,Monnes,23670.0
02497,Mons-en-Laonnois,23910.0
02498,Montaigu,22150.0
02499,Montbavin,
02500,Montbrehain,20690.0
02501,Montchâlons,
02502,Montcornet,18140.0
02503,Mont-d'Origny,19460.0
02504,Montescourt-Lizerolles,21160.0
02505,Montfaucon,24210.0
