dep,codgeo,libgeo,population,revenu_median,categorie_revenu,pression_socioeco,cluster
62,62027,Ambrines,212.0,20410.0,Très faible,0.0265459057595926,0
85,85042,Chaillé-les-Marais,1893.0,21810.0,Faible,0.2275345068419226,0
40,40236,Poyartin,773.0,22210.0,Faible,0.0918045130815848,0
88,88055,Bettegney-Saint-Brice,163.0,22730.0,Faible,0.0190546732078322,0
11,11273,Paraza,701.0,20830.0,Très faible,0.0867213597872621,0
70,70247,Fouvent-Saint-Andoche,205.0,20340.0,Très faible,0.025720831666713,0
84,84040,Crestet,422.0,21580.0,Faible,0.0510714267488215,0
73,73306,Valloire,1080.0,22730.0,Faible,0.1262518224813427,0
36,36081,Gargilesse-Dampierre,272.0,22100.0,Faible,0.0324110440322814,0
85,85205,Saint-Cyr-des-Gâts,539.0,20320.0,Très faible,0.0676656111439594,0
76,76276,Forges-les-Eaux,3702.0,20540.0,Très faible,0.4618264049184638,0
88,88498,Vecoux,856.0,23810.0,Moyen,0.0967521973544881,3
40,40007,Argelos,164.0,22330.0,Faible,0.0194067349329873,0
01,01083,Chaneins,1003.0,25580.0,Élevé,0.1070032482581999,3
55,55541,Vavincourt,530.0,25930.0,Élevé,0.0558771176917848,3
13,13201,Marseille 1er Arrondissement,39436.0,16530.0,Très faible,5.486553297614738,0
22,22346,Trédaniel,886.0,22820.0,Moyen,0.1032874036209249,3
74,74222,Reyvroz,500.0,26240.0,Élevé,0.0521586203136829,3
43,43050,Chambezon,128.0,17890.0,Très faible,0.0171840249027952,0
07,07010,Annonay,16873.0,19880.0,Très faible,2.1448362421719107,0
46,46203,Montet-et-Bouxal,214.0,21360.0,Faible,0.0260675520623652,0
57,57705,Velving,210.0,23460.0,Moyen,0.0239994179571164,3
29,29244,Saint-Derrien,838.0,22210.0,Faible,0.099524168127255,0
18,18114,Ineuil,219.0,23180.0,Moyen,0.0252477834511396,3
62,62064,Avesnes-lès-Bapaume,165.0,22010.0,Faible,0.0197143453253665,0
53,53068,Chérancé,154.0,21070.0,Très faible,0.0189189890993186,0
33,33554,Yvrac,2881.0,25960.0,Élevé,0.3034297445316088,3
22,22069,Guenroc,217.0,21770.0,Faible,0.0261140467225349,0
01,01063,Brion,576.0,25400.0,Élevé,0.061821192928,3
33,33248,Listrac-Médoc,2796.0,23550.0,Moyen,0.3186330323850486,3
68,68121,Hagenthal-le-Haut,732.0,38870.0,Élevé,0.0432183101612765,2
90,90011,Bermont,375.0,30140.0,Élevé,0.0338762173171342,2
17,17286,Les Portes-en-Ré,587.0,26510.0,Élevé,0.0606660676892592,3
69,69182,Saint-Bonnet-des-Bruyères,367.0,20380.0,Très faible,0.0459939374146427,0
34,34051,Canet,3570.0,22940.0,Moyen,0.4146448999617235,3
69,69113,Létra,903.0,24730.0,Élevé,0.0990864300429592,3
28,28141,Ermenonville-la-Grande,320.0,28140.0,Élevé,0.0312019677807763,2
