dep,codgeo,libgeo,population,revenu_median,categorie_revenu,pression_socioeco
71,71580,Vincelles,439.0,22280.0,Faible,0.05202720209920186
22,22345,Trébry,801.0,22300.0,Faible,0.09487147580387845
24,24052,Bouillac,126.0,18510.0,Très faible,0.016635481117200736
30,30306,Salinelles,553.0,24550.0,Moyen,0.06103766649212635
25,25125,Charmoille,322.0,23700.0,Moyen,0.036522075357074
55,55327,Mauvages,244.0,22180.0,Faible,0.029004638027685305
16,16399,Verrières,333.0,26930.0,Élevé,0.0339139651021448
58,58087,Cossaye,673.0,20510.0,Très faible,0.0840294731091899
71,71270,Mâcon,34448.0,19320.0,Très faible,4.448061903465176
64,64097,Barzun,624.0,24330.0,Moyen,0.06936644818822267
41,41168,Orçay,225.0,23750.0,Moyen,0.025479754882101715
24,24477,Saint-Pardoux-de-Drône,192.0,20250.0,Très faible,0.024151699619723008
70,70138,Chassey-lès-Scey,123.0,21750.0,Faible,0.014810789754598144
02,02352,Gouy,567.0,20460.0,Très faible,0.0708961476012986
11,11102,Couffoulens,554.0,21510.0,Faible,0.06718539335858344
18,18022,Barlieu,339.0,23340.0,Moyen,0.03888774660912938
68,68370,Wildenstein,161.0,20040.0,Très faible,0.020373408029467643
59,59364,Louvil,895.0,31920.0,Élevé,0.07514031783732486
45,45136,Ervauville,554.0,22750.0,Faible,0.06472278952279735
40,40012,Artassenx,260.0,22720.0,Faible,0.030403277704770287
78,78358,Maisons-Laffitte,23080.0,36990.0,Élevé,1.5182209318220186
52,52431,Rochetaillée,161.0,21120.0,Très faible,0.01975008563083237
88,88189,Fréville,130.0,21830.0,Faible,0.015616398465463711
43,43104,Grèzes,188.0,17760.0,Très faible,0.025326648718967868
07,07176,Planzolles,161.0,19330.0,Très faible,0.020783184791533422
67,67507,Villé,1775.0,23010.0,Moyen,0.20571557014886116
73,73155,Méry,2135.0,28450.0,Élevé,0.20580303890045254
01,01125,Corveissiat,596.0,24010.0,Moyen,0.06693754133050867
06,06085,Mougins,19677.0,27390.0,Élevé,1.9715318594467266
84,84082,Mormoiron,1879.0,20840.0,Très faible,0.2323854736181892
38,38243,Le Monestier-du-Percy,248.0,19480.0,Très faible,0.031880495866891415
11,11258,Moussan,2066.0,22710.0,Faible,0.2416631837255044
82,82030,Castelferrus,490.0,19420.0,Très faible,0.06309508209052032
68,68204,Metzeral,1043.0,23650.0,Moyen,0.11848671236312429
60,60347,Lannoy-Cuillère,284.0,21340.0,Faible,0.03461468300679879
61,61217,La Lande-de-Lougé,55.0,,,
59,59508,Roncq,13784.0,25280.0,Élevé,1.4853450128837382
17,17388,Saint-Quantin-de-Rançanne,252.0,22070.0,Faible,0.030054980003761524
21,21198,Corrombles,246.0,22180.0,Faible,0.02924238096233846
63,63247,Murol,640.0,22420.0,Faible,0.0755271161281734
76,76560,Saint-Aubin-Épinay,1019.0,26210.0,Élevé,0.10640885507371808
21,21590,Savigny-lès-Beaune,1286.0,26660.0,Élevé,0.13221575742591096
01,01058,Brégnier-Cordon,818.0,23420.0,Moyen,0.09360074125207127
74,74275,Talloires,1926.0,30600.0,Élevé,0.17081227610966002
59,59191,Élincourt,631.0,19640.0,Très faible,0.0807533740357554
45,45255,Préfontaines,433.0,24080.0,Moyen,0.04852214281412237
05,05066,La Haute-Beaume,8.0,,,
06,06012,Beausoleil,12674.0,22510.0,Faible,1.4915839008302352
13,13111,Vauvenargues,1041.0,28040.0,Élevé,0.1018770775450618
64,64365,Malaussanne,432.0,20680.0,Très faible,0.05367541450111424
57,57254,Gorze,1145.0,23650.0,Moyen,0.13007409938233683
21,21431,Montigny-sur-Armançon,154.0,25320.0,Élevé,0.01657274738142827
79,79014,Argenton-l'Église,2599.0,20010.0,Très faible,0.329164521011588
57,57655,Solgne,1131.0,25530.0,Élevé,0.1208614172731309
49,49336,Somloire,866.0,20910.0,Très faible,0.10688530883494773
50,50048,Beslon,551.0,21550.0,Faible,0.06674256487972784
36,36198,Saint-Lactencin,402.0,21750.0,Faible,0.04840599578332076
50,50139,Condé-sur-Vire,4106.0,23390.0,Moyen,0.47027610140928033
72,72135,La Fontaine-Saint-Martin,600.0,21960.0,Faible,0.07179607200291696
47,47229,Saint-Astier,224.0,21390.0,Faible,0.027261572217284945
14,14684,Tessel,251.0,24240.0,Moyen,0.027983189417913425
49,49182,Louresse-Rochemenier,894.0,23250.0,Moyen,0.10284195824909143
27,27363,Le Landin,244.0,22860.0,Moyen,0.028409850516864253
86,86211,Romagne,836.0,19250.0,Très faible,0.1081574056050174
42,42207,Saint-Chamond,35068.0,20330.0,Très faible,4.4011504045072
76,76065,Beaussault,412.0,20190.0,Très faible,0.05191413798341536
03,03178,Montaiguët-en-Forez,287.0,18200.0,Très faible,0.038210867524068916
71,71213,La Genête,565.0,20170.0,Très faible,0.07123344001266042
